Overall Qual,Overall Cond,Total Bsmt SF,Central Air,Gr Liv Area,SalePrice
6,6,855.0,Y,1456,148500
7,5,1057.0,Y,1055,123000
6,5,855.0,Y,1322,147000
6,5,855.0,Y,1456,137900
6,5,804.0,Y,1548,147000
6,6,855.0,Y,1441,148500
6,5,855.0,Y,1456,138000
7,6,836.0,Y,836,128500
5,5,892.0,Y,892,100000
5,7,864.0,Y,1120,148800
10,5,1700.0,Y,1718,337500
9,5,1776.0,Y,2772,462000
9,5,1926.0,Y,3140,485000
10,5,3094.0,Y,2402,555000
9,5,1652.0,Y,1652,325000
8,5,1566.0,Y,1600,256300
8,5,2042.0,Y,2042,253293
9,5,1365.0,Y,2690,398800
9,5,1104.0,Y,2184,335000
9,5,2020.0,Y,2020,404000
10,5,2006.0,Y,2020,402861
10,5,1722.0,Y,2296,451950
10,5,2630.0,Y,2674,610000
9,5,1734.0,Y,2822,582933
9,5,1736.0,Y,1736,360000
8,5,1782.0,Y,1782,296000
8,5,1508.0,Y,2520,409900
8,5,1709.0,Y,1717,255500
9,5,1739.0,Y,1743,335000
8,5,1713.0,Y,1713,274900
9,5,1504.0,Y,1531,300000
9,5,1774.0,Y,1808,324000
9,5,1462.0,Y,2224,350000
8,5,1836.0,Y,1836,280000
8,5,3206.0,Y,1629,284000
7,5,1760.0,Y,1760,269500
7,5,1502.0,Y,1502,233170
10,5,2392.0,Y,2392,386250
9,5,2452.0,Y,2452,445000
8,5,1082.0,Y,2400,290000
8,5,1598.0,Y,1606,255900
6,5,1358.0,Y,1358,213000
6,5,1306.0,Y,1306,196000
6,5,1306.0,Y,1306,184500
7,5,1350.0,Y,1358,212500
7,5,1314.0,Y,1314,230000
10,5,2492.0,Y,2492,552000
8,5,2200.0,Y,2200,382500
9,5,1884.0,Y,1884,320000
9,5,1451.0,Y,1456,248500
8,5,1712.0,Y,1712,286500
8,5,1324.0,Y,1324,254000
7,5,1405.0,Y,1405,173000
7,5,764.0,Y,1626,173000
7,5,728.0,Y,1456,184000
6,5,745.0,Y,1490,167800
6,5,742.0,Y,1484,174000
6,5,684.0,Y,1560,174000
7,5,1373.0,Y,1555,174000
7,5,1386.0,Y,1569,175900
7,5,1373.0,Y,1555,192500
7,5,1346.0,Y,1504,181000
7,5,1220.0,Y,1220,180000
7,5,1145.0,Y,1145,160200
7,5,716.0,Y,1432,188500
6,5,1010.0,Y,2267,200000
7,5,384.0,Y,1374,170000
7,5,868.0,Y,1630,189500
8,5,408.0,Y,1419,184100
7,5,846.0,Y,1594,195500
7,5,782.0,Y,1489,192000
7,5,698.0,Y,1342,178000
7,5,1314.0,Y,1314,207500
7,5,952.0,Y,2256,236000
8,5,870.0,Y,2004,257500
6,5,992.0,Y,2054,244000
7,5,384.0,Y,1374,167000
6,5,982.0,Y,1800,179000
6,5,794.0,Y,1514,190000
7,5,384.0,Y,1430,156000
7,5,1177.0,Y,2312,245000
6,5,841.0,Y,1675,181000
7,5,992.0,Y,2060,214000
7,6,384.0,Y,1430,168000
8,5,1252.0,Y,2365,337000
8,5,1462.0,Y,2794,403000
8,5,1455.0,Y,2687,327000
8,5,1284.0,Y,2450,340000
8,5,1225.0,Y,2612,336000
7,5,1264.0,Y,2344,265000
8,5,2024.0,Y,2063,315000
7,5,1347.0,Y,2646,260000
7,5,1070.0,Y,2061,260000
8,5,1173.0,Y,2232,263550
8,7,1629.0,Y,2448,402000
7,6,973.0,Y,1850,248000
8,5,1468.0,Y,1468,244600
8,5,1696.0,Y,1696,275000
8,5,1614.0,Y,1658,257500
8,5,1573.0,Y,1578,287090
8,5,1702.0,Y,1702,275500
8,5,1422.0,Y,1432,245000
7,5,1113.0,Y,1971,253000
9,5,2458.0,Y,2490,468000
7,5,900.0,Y,1852,252678
8,5,768.0,Y,1590,210000
6,5,1218.0,Y,1218,208300
7,5,1436.0,Y,1436,225000
8,5,1300.0,Y,1314,229456
7,5,1402.0,Y,1402,229800
9,5,1530.0,Y,1530,250000
9,5,1766.0,Y,1766,370878
8,5,1372.0,Y,1448,238500
10,5,1017.0,Y,2007,310000
8,5,900.0,Y,1795,270000
8,5,1082.0,Y,1953,252000
7,5,1092.0,Y,1550,241000
8,5,1836.0,Y,1836,264500
7,5,1652.0,Y,1662,291000
7,5,912.0,Y,2094,263000
7,5,1221.0,Y,1221,185000
7,5,1553.0,Y,1553,234500
7,5,812.0,Y,1653,209000
7,6,1218.0,Y,1218,159000
7,5,1141.0,Y,1141,152000
6,5,1158.0,Y,1158,143500
7,5,835.0,Y,1812,193000
8,5,1512.0,Y,1512,203000
7,5,1176.0,Y,1200,184900
7,5,1114.0,Y,1114,159000
5,5,1114.0,Y,1114,142000
5,5,1114.0,Y,1114,153000
7,5,1450.0,Y,1450,224243
7,5,913.0,Y,2122,220000
8,5,1844.0,Y,1844,257000
7,5,1454.0,Y,1434,189000
6,6,816.0,Y,1730,171500
6,6,626.0,Y,1217,120000
6,5,1332.0,Y,1332,145000
7,5,754.0,Y,1540,184000
6,7,676.0,Y,1400,162000
6,7,0.0,Y,1882,160000
4,4,721.0,Y,841,82000
6,3,784.0,N,784,76000
5,5,980.0,Y,980,110000
5,6,980.0,Y,980,135000
5,6,864.0,Y,864,141000
5,5,864.0,Y,864,122000
5,5,1024.0,Y,1020,124100
5,8,912.0,Y,912,129000
5,6,864.0,Y,1144,131400
5,5,864.0,Y,864,62383
5,6,912.0,Y,912,123000
8,8,2014.0,Y,2014,275000
7,8,975.0,Y,1755,235000
7,5,1376.0,Y,3005,280750
6,5,612.0,Y,1224,164500
6,5,612.0,Y,1224,173733
6,5,1726.0,Y,1726,222000
6,5,1145.0,Y,1256,195000
6,5,729.0,Y,1471,172500
6,5,756.0,Y,1512,180000
7,5,691.0,Y,1452,156000
8,5,970.0,Y,1739,172500
8,9,1694.0,Y,1694,318750
8,5,1226.0,Y,1226,211500
7,5,1740.0,Y,1740,241600
8,5,392.0,Y,2499,180500
4,4,1281.0,Y,1620,150000
6,6,727.0,Y,1556,154000
6,6,1442.0,Y,1442,185000
6,7,1489.0,Y,1489,185750
7,6,1107.0,Y,2090,200000
7,6,752.0,Y,2067,206000
6,6,723.0,Y,1395,162000
6,7,932.0,Y,2640,256900
6,5,1680.0,Y,1724,197900
5,5,1288.0,Y,1336,163000
6,5,1216.0,Y,1216,113000
7,7,908.0,Y,2288,230000
6,5,1350.0,Y,1334,167900
7,5,1650.0,Y,1680,213250
8,6,810.0,Y,1665,227000
5,6,864.0,Y,864,130000
5,5,1568.0,Y,1568,143000
5,6,925.0,Y,925,117500
7,5,1165.0,Y,2061,168500
6,5,1232.0,Y,1320,172500
6,5,1372.0,Y,1342,161500
4,7,894.0,Y,894,141500
5,7,864.0,Y,864,118000
6,6,864.0,Y,864,127500
4,5,1040.0,Y,1362,140000
5,6,1048.0,Y,1728,177625
5,5,1584.0,Y,1776,110000
6,6,1516.0,Y,1516,167000
5,6,1313.0,Y,1313,153000
5,5,1292.0,Y,1292,145100
5,6,1154.0,Y,1154,154000
5,6,744.0,Y,2140,177500
6,6,1127.0,Y,1445,158000
5,6,1041.0,Y,1041,124500
6,6,1208.0,Y,1576,174500
5,5,960.0,Y,960,122000
4,7,420.0,Y,708,82500
5,4,709.0,Y,1203,110000
6,4,1505.0,Y,1505,149500
6,5,1680.0,Y,1691,175000
6,5,1416.0,Y,1644,167000
5,6,1050.0,Y,1050,128900
6,8,856.0,Y,1668,140000
5,7,1113.0,Y,1113,147000
5,5,1584.0,Y,1584,124000
6,6,1453.0,Y,1453,187500
6,5,1394.0,Y,1394,159000
6,8,1562.0,Y,1567,256000
7,6,768.0,Y,1986,205000
6,6,896.0,Y,2142,193500
6,3,1392.0,Y,1392,110000
4,4,715.0,Y,1738,104900
5,7,1169.0,Y,1144,150000
6,3,1478.0,Y,1478,156500
7,6,1329.0,Y,1329,176000
6,8,988.0,Y,988,149500
6,6,1240.0,Y,1632,139000
6,7,1215.0,Y,1215,155000
5,5,1202.0,Y,1202,120000
5,5,1382.0,Y,1382,153000
4,5,1200.0,Y,1200,144000
6,5,1362.0,Y,1382,176000
5,6,1297.0,Y,1297,153000
5,4,1866.0,Y,1866,135000
6,7,1062.0,Y,1062,131000
5,6,608.0,Y,1319,123000
5,5,631.0,Y,1112,126000
4,5,1005.0,Y,1005,115000
5,7,1008.0,Y,1363,164900
5,6,793.0,Y,793,113000
5,8,1031.0,Y,1031,145500
5,5,0.0,Y,1210,102900
3,5,978.0,Y,1699,95000
7,7,699.0,Y,1527,152500
5,6,1200.0,Y,1200,129900
6,6,972.0,Y,972,132000
3,5,792.0,Y,792,99900
5,7,660.0,Y,1656,135000
5,7,676.0,Y,1352,149000
4,8,405.0,Y,1039,114000
5,8,768.0,Y,792,109500
5,7,1054.0,Y,1078,125000
4,5,1313.0,Y,2377,142900
7,9,560.0,Y,1690,156500
2,5,416.0,N,599,59000
4,6,840.0,Y,1374,105000
5,7,720.0,N,846,106000
3,5,630.0,Y,725,78500
6,5,1248.0,Y,2544,190000
6,7,1380.0,Y,1380,154000
6,4,1040.0,Y,1040,163000
5,5,1248.0,Y,2634,200000
6,9,951.0,Y,951,143500
6,6,1105.0,Y,1105,135000
5,7,992.0,Y,1306,153000
6,5,1478.0,Y,1478,157500
6,6,160.0,Y,1142,113500
5,7,832.0,Y,1268,133000
3,4,0.0,N,1040,92900
6,5,795.0,N,1133,128500
4,5,0.0,N,1040,90000
5,4,1208.0,Y,1904,138000
5,6,1041.0,Y,1041,128000
5,6,1029.0,Y,1339,139000
5,7,732.0,Y,732,118900
5,5,528.0,Y,1183,138000
5,5,1148.0,Y,1148,132500
4,7,832.0,Y,1461,133500
6,7,864.0,Y,1495,135000
6,5,780.0,Y,1806,144750
5,7,941.0,Y,941,145000
6,6,1045.0,Y,1045,127000
5,5,894.0,N,894,109500
6,8,818.0,Y,1224,115000
5,6,440.0,Y,1230,110000
6,8,901.0,Y,1378,128900
6,5,972.0,N,1944,103500
5,6,676.0,Y,1131,66500
5,8,240.0,Y,1306,130000
5,8,504.0,Y,1464,129000
5,6,690.0,Y,1558,150000
5,4,994.0,N,2372,107500
4,6,600.0,N,1701,94550
5,5,960.0,Y,1960,124500
7,8,651.0,Y,1389,135000
5,5,801.0,N,1447,103000
4,4,936.0,N,936,93000
5,7,768.0,Y,1328,129500
5,4,811.0,Y,1387,93000
4,6,861.0,Y,861,80000
2,4,0.0,N,612,45000
3,6,600.0,N,968,37900
5,8,190.0,Y,886,91300
5,8,624.0,Y,792,99500
4,5,736.0,Y,1452,113000
4,4,677.0,Y,1510,87500
5,7,720.0,Y,1284,110000
5,5,849.0,N,2138,106000
7,7,1240.0,N,2640,265979
6,7,917.0,Y,2007,160000
6,7,624.0,Y,1288,119000
8,9,916.0,Y,1742,168000
4,3,624.0,Y,816,58500
7,9,650.0,Y,1482,143000
5,4,1022.0,N,1022,85000
5,6,1088.0,Y,1869,124900
6,6,972.0,Y,1480,119000
6,7,741.0,Y,1521,146500
4,5,720.0,N,720,34900
3,3,245.0,N,797,44000
5,6,1324.0,Y,1576,223500
6,6,1022.0,N,1432,149000
7,7,952.0,N,1548,205000
5,7,297.0,Y,1654,137000
6,6,952.0,N,952,121000
4,6,672.0,Y,1324,128000
6,9,698.0,Y,1176,134900
5,8,884.0,Y,1348,117000
6,6,780.0,Y,1412,132500
5,5,468.0,Y,1142,93000
6,7,884.0,Y,904,119000
5,5,1145.0,Y,1301,100000
5,6,927.0,Y,1539,141500
4,7,884.0,Y,1573,133000
2,3,264.0,N,800,60000
5,7,715.0,Y,875,105000
5,6,960.0,Y,995,115000
5,6,952.0,Y,1582,150000
5,5,1072.0,Y,1072,126500
6,6,844.0,N,2134,214500
7,8,728.0,N,2019,167500
6,6,1048.0,Y,1768,155000
7,8,910.0,Y,1826,155000
7,8,672.0,Y,1944,179900
6,6,755.0,Y,2229,104000
5,1,1040.0,N,2128,62500
6,5,720.0,Y,1930,149000
4,5,780.0,Y,1208,103000
6,7,483.0,Y,1427,123000
7,5,1020.0,N,1864,97500
6,6,1204.0,Y,1666,135000
4,6,858.0,Y,892,70000
6,7,698.0,Y,1403,116000
4,9,560.0,Y,704,88750
5,5,1200.0,Y,1200,179000
5,5,1200.0,Y,1200,179000
5,5,1152.0,Y,1152,159900
1,1,683.0,N,904,61000
6,6,672.0,N,1369,103600
5,3,585.0,N,1112,63000
5,6,520.0,Y,1464,175000
5,6,1121.0,Y,1121,139000
6,5,918.0,Y,1683,172500
5,6,1052.0,Y,1052,113500
5,7,864.0,Y,899,130000
6,5,456.0,Y,1034,149900
5,5,858.0,Y,858,134900
5,6,840.0,Y,860,137000
5,5,1092.0,Y,1092,139000
5,5,552.0,Y,1774,165000
6,5,1138.0,Y,1138,148000
5,5,825.0,Y,2071,165000
2,2,0.0,N,660,63900
4,5,1104.0,Y,1788,161500
5,8,1437.0,Y,1473,143000
4,6,1134.0,Y,1229,135000
4,5,861.0,Y,861,82500
5,5,1617.0,Y,1867,190000
3,5,0.0,Y,1733,139600
4,5,0.0,Y,1383,122000
6,5,1436.0,Y,1689,127500
5,5,1073.0,Y,1073,121500
5,3,1276.0,Y,1276,60000
6,7,747.0,Y,1639,154400
4,6,672.0,Y,672,113000
5,6,1089.0,Y,1089,125000
4,3,0.0,N,845,84000
5,5,1049.0,Y,1049,139500
5,4,768.0,Y,1716,131000
6,5,560.0,Y,1258,105000
4,5,755.0,Y,1510,108000
7,6,1054.0,Y,1061,162000
6,5,520.0,Y,1338,156500
8,8,1496.0,Y,2132,316600
7,7,2158.0,Y,2196,271900
7,5,740.0,Y,1775,213000
